Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
29213,0.31,Ideal,F,VS1,61.8,56.0,695,4.33,4.36,2.68
2556,0.8,Very Good,H,VS1,61.7,62.0,3209,5.89,5.94,3.65
11131,1.01,Premium,D,SI2,61.0,62.0,4939,6.43,6.39,3.91
45782,0.56,Ideal,D,SI1,61.3,55.0,1708,5.32,5.35,3.27
10739,0.33,Ideal,H,SI1,63.0,56.0,594,4.42,4.41,2.78
25772,1.51,Ideal,G,VS1,60.8,54.0,14733,7.4,7.48,4.52
19194,1.33,Premium,H,VS2,62.6,58.0,7943,7.07,7.01,4.41
2169,0.82,Ideal,G,SI1,61.8,55.0,3133,6.02,6.05,3.73
49156,0.5,Ideal,G,VVS1,62.7,57.0,2070,5.1,5.07,3.19
50240,0.71,Ideal,G,SI1,60.6,57.0,2233,5.72,5.8,3.49
32881,0.4,Very Good,J,VS1,63.2,57.0,810,4.73,4.7,2.98
41173,0.4,Ideal,G,VVS1,61.4,55.0,1200,4.76,4.72,2.91
47253,0.52,Premium,D,VS2,62.4,58.0,1842,5.13,5.09,3.19
41655,0.58,Very Good,H,SI1,59.7,57.0,1239,5.41,5.47,3.25
2827,0.9,Good,F,SI2,64.3,57.0,3267,6.06,6.16,3.93
28856,0.41,Premium,E,SI2,62.1,58.0,683,4.73,4.77,2.95
39095,0.41,Good,J,IF,63.6,54.0,1061,4.75,4.72,3.01
43031,0.5,Very Good,G,VS2,62.8,56.0,1373,5.05,5.08,3.18
45726,0.72,Very Good,H,SI2,63.3,57.0,1698,5.7,5.67,3.6
53533,0.74,Ideal,D,SI2,61.1,57.0,2690,5.81,5.84,3.56
23603,1.56,Ideal,G,SI1,61.2,56.0,11628,7.51,7.49,4.59
47922,0.6,Premium,E,VS2,62.7,58.0,1915,5.37,5.34,3.36
12510,1.25,Ideal,G,SI2,61.6,57.0,5259,6.91,6.98,4.28
34320,0.35,Very Good,G,VVS1,61.8,57.0,859,4.5,4.53,2.79
24551,1.52,Very Good,G,VS2,62.1,58.0,12840,7.36,7.43,4.59
15529,1.32,Fair,E,SI2,65.2,58.0,6221,6.86,6.79,4.45
12299,1.21,Premium,I,SI1,62.8,57.0,5218,6.74,6.67,4.21
1665,0.9,Fair,H,SI1,65.6,57.0,3024,6.04,6.01,3.95
37166,0.32,Ideal,D,VS2,61.1,56.0,972,4.41,4.39,2.69
43828,0.51,Very Good,G,VS2,63.5,57.0,1443,5.06,5.05,3.21
