Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
35886,0.32,Ideal,G,IF,61.7,56.0,918,4.39,4.42,2.72
12060,0.26,Very Good,E,VVS2,63.0,58.0,597,4.08,4.11,2.58
33619,0.31,Good,G,SI1,63.1,59.0,462,4.29,4.33,2.72
38837,0.52,Good,G,SI2,63.1,56.0,1049,5.08,5.12,3.22
35572,0.35,Premium,F,VS2,61.5,59.0,906,4.55,4.53,2.79
32648,0.31,Ideal,H,VVS2,61.1,56.0,802,4.37,4.33,2.66
3678,0.7,Good,F,VVS2,62.5,58.0,3445,5.68,5.75,3.57
31986,0.3,Premium,F,VS2,61.4,60.0,776,4.3,4.27,2.63
53546,0.82,Ideal,G,SI2,61.6,56.0,2692,5.98,6.04,3.7
43555,0.52,Ideal,D,SI1,61.2,57.0,1429,5.18,5.22,3.18
21302,1.54,Ideal,H,SI2,60.9,56.4,9452,7.43,7.45,4.53
29140,0.33,Ideal,D,VS2,61.8,55.0,692,4.43,4.44,2.74
48633,0.34,Good,F,SI2,63.9,56.0,536,4.43,4.4,2.82
45555,0.51,Ideal,D,SI1,62.8,56.0,1687,5.09,5.07,3.19
18435,1.0,Good,D,VS1,57.8,61.0,7500,6.62,6.56,3.81
12203,1.23,Very Good,I,SI2,62.6,59.0,5191,6.78,6.86,4.27
37722,0.34,Ideal,G,VVS2,61.9,57.0,995,4.48,4.44,2.76
9022,1.0,Premium,H,VS2,58.4,60.0,4514,6.36,6.3,3.7
50961,0.54,Ideal,D,VVS2,61.2,55.0,2323,5.31,5.25,3.23
753,0.77,Premium,F,SI1,61.0,58.0,2856,5.94,5.9,3.61
24517,2.02,Good,J,SI1,63.5,60.0,12798,7.93,7.98,5.05
45551,0.51,Ideal,D,SI1,61.7,55.0,1687,5.16,5.11,3.17
47525,0.54,Ideal,G,VS1,61.4,55.0,1868,5.26,5.3,3.24
5234,0.9,Very Good,G,SI2,63.2,58.0,3787,6.05,6.1,3.84
16764,0.8,Ideal,F,IF,60.8,56.0,6674,5.99,6.05,3.66
8241,1.07,Ideal,F,SI2,61.9,55.0,4374,6.53,6.58,4.06
16484,1.01,Premium,F,VS2,61.6,59.0,6587,6.39,6.43,3.95
25884,2.01,Good,I,SI1,58.5,62.0,14998,8.24,8.31,4.84
10714,0.31,Premium,D,SI2,60.1,60.0,593,4.41,4.38,2.64
7218,1.01,Premium,H,SI1,58.8,62.0,4191,6.59,6.54,3.86
