Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
1866,0.7,Ideal,E,VS2,62.6,56.0,3068,5.65,5.69,3.55
49231,0.51,Ideal,F,VVS2,62.2,57.0,2083,5.12,5.17,3.2
27560,2.22,Ideal,I,VS2,61.3,56.0,18363,8.36,8.45,5.15
35126,0.35,Ideal,H,IF,62.1,54.0,887,4.55,4.59,2.84
25246,2.03,Very Good,D,SI2,63.1,58.0,13858,8.02,7.98,5.05
49659,0.71,Very Good,I,SI1,61.8,56.0,2141,5.73,5.76,3.55
42430,0.55,Ideal,F,SI2,61.1,56.0,1313,5.25,5.33,3.24
18489,1.01,Very Good,G,VVS2,63.0,61.0,7528,6.34,6.36,4.0
3884,1.01,Good,I,VS1,64.2,60.0,3484,6.35,6.27,4.05
17832,1.0,Good,E,VS1,60.0,65.0,7190,6.48,6.43,3.87
30327,0.36,Ideal,F,VS2,60.9,57.0,726,4.58,4.61,2.8
4069,0.31,Ideal,D,SI1,62.7,56.0,571,4.32,4.36,2.72
2394,0.32,Ideal,G,VS2,62.5,56.0,561,4.38,4.42,2.75
37576,0.46,Ideal,G,SI1,61.4,56.0,990,4.97,4.99,3.06
30425,0.32,Ideal,G,VVS2,62.6,57.0,730,4.34,4.38,2.73
43257,0.42,Premium,G,IF,61.6,58.0,1400,4.76,4.79,2.94
32816,0.34,Ideal,E,VS1,61.2,57.0,805,4.45,4.5,2.74
41819,0.43,Ideal,F,VVS2,61.9,56.0,1250,4.87,4.82,3.0
36273,0.3,Ideal,G,SI1,61.4,57.0,477,4.28,4.32,2.64
1748,0.92,Premium,I,SI2,61.5,59.0,3040,6.27,6.21,3.84
21407,1.39,Ideal,D,SI1,61.9,52.0,9519,7.24,7.25,4.48
21477,1.23,Premium,G,VS1,59.8,57.0,9574,6.99,6.96,4.17
2983,1.0,Very Good,E,I1,63.0,57.0,3300,6.32,6.35,3.99
18312,1.09,Ideal,E,VS2,61.2,56.0,7443,6.62,6.67,4.07
13509,1.01,Good,D,SI1,63.8,58.0,5543,6.38,6.34,4.06
32701,0.31,Ideal,F,VS2,62.0,56.0,802,4.39,4.35,2.71
10753,1.22,Ideal,F,SI2,62.0,57.0,4852,6.88,6.83,4.25
16741,1.01,Premium,E,VS2,62.0,59.0,6666,6.44,6.46,4.0
20071,1.27,Very Good,G,VS2,60.3,59.0,8549,6.97,7.09,4.24
53547,0.82,Premium,I,VS2,62.2,59.0,2692,5.97,6.03,3.73
