Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
53615,0.3,Premium,D,SI1,62.2,58.0,552,4.28,4.31,2.67
37588,0.44,Ideal,G,SI1,62.7,57.0,990,4.85,4.82,3.03
43828,0.51,Very Good,G,VS2,63.5,57.0,1443,5.06,5.05,3.21
38204,0.43,Premium,H,VS2,61.9,55.0,1016,4.95,4.8,3.02
39415,0.41,Ideal,F,VS1,62.3,55.0,1076,4.79,4.77,2.98
30749,0.34,Ideal,H,VVS1,62.2,54.0,740,4.48,4.53,2.8
628,0.73,Premium,F,VS2,60.3,59.0,2841,5.9,5.87,3.55
8952,1.19,Premium,J,SI1,63.0,54.0,4498,6.82,6.74,4.27
39849,0.38,Ideal,E,VVS2,62.2,56.0,1100,4.58,4.65,2.87
3663,0.76,Good,D,VS2,63.5,55.0,3443,5.81,5.85,3.7
48746,0.7,Premium,G,SI1,59.9,58.0,2016,5.8,5.68,3.44
19385,1.55,Premium,J,VS2,60.7,59.0,8055,7.5,7.47,4.54
53724,0.7,Good,F,VVS2,63.1,58.0,2721,5.6,5.66,3.55
45614,0.69,Fair,G,SI2,65.4,63.0,1691,5.49,5.43,3.57
20703,0.31,Ideal,G,VS1,61.0,55.0,625,4.39,4.43,2.69
21950,1.04,Ideal,E,VVS2,62.9,55.0,10019,6.47,6.51,4.08
5928,0.92,Ideal,E,SI2,62.1,53.0,3941,6.25,6.22,3.87
35832,0.5,Ideal,J,VS2,62.5,53.0,915,5.09,5.12,3.19
35949,0.3,Ideal,F,SI1,61.9,54.0,475,4.33,4.36,2.69
3611,0.9,Good,F,SI1,64.3,57.0,3427,6.08,6.01,3.89
48579,0.54,Ideal,D,VS2,61.1,56.0,1993,5.29,5.25,3.22
37661,0.42,Premium,F,SI1,61.5,58.0,992,4.83,4.8,2.96
9617,1.01,Fair,F,SI1,65.5,57.0,4634,6.12,6.22,4.04
50676,0.7,Ideal,I,SI1,61.0,57.0,2287,5.71,5.74,3.5
49801,0.7,Very Good,E,SI1,63.2,61.0,2164,5.61,5.49,3.51
30670,0.4,Very Good,F,SI1,62.8,59.0,737,4.71,4.72,2.96
26144,2.0,Very Good,H,SI2,62.6,56.0,15446,7.98,8.09,5.03
33851,0.3,Ideal,F,VS1,61.4,56.0,844,4.37,4.33,2.67
46095,0.53,Ideal,F,VS1,61.6,55.0,1740,5.24,5.21,3.22
28487,0.4,Good,G,SI2,60.6,55.8,672,4.76,4.82,2.91
