Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
2292,0.81,Ideal,D,SI2,61.9,54.0,3160,5.96,5.99,3.7
1079,0.31,Ideal,H,SI1,62.9,56.0,558,4.31,4.27,2.7
35483,0.31,Ideal,E,VVS1,61.0,57.0,903,4.39,4.37,2.67
38722,0.41,Ideal,H,VVS1,62.7,54.0,1043,4.78,4.79,3.0
35362,0.38,Premium,H,VS2,61.8,58.0,898,4.66,4.63,2.87
20919,1.49,Ideal,H,SI1,62.4,56.0,9132,7.28,7.24,4.53
34385,0.41,Ideal,F,VS2,62.7,56.0,863,4.72,4.78,2.98
22998,2.3,Premium,I,SI2,61.3,58.0,11051,8.53,8.46,5.21
27127,1.51,Very Good,F,VVS2,63.1,56.0,17317,7.32,7.26,4.6
40316,0.4,Premium,E,VS1,61.8,55.0,1125,4.76,4.72,2.93
18613,1.58,Ideal,J,SI1,61.6,56.0,7592,7.53,7.5,4.63
9621,1.28,Premium,J,SI2,62.3,58.0,4636,6.94,6.89,4.31
4513,1.02,Fair,F,SI2,66.6,58.0,3633,6.21,6.14,4.11
48213,0.76,Very Good,J,VS2,59.9,59.0,1949,5.92,5.94,3.55
14921,1.5,Fair,J,SI1,64.9,58.0,6006,7.09,7.03,4.58
9810,1.21,Good,F,SI2,63.7,64.0,4669,6.73,6.63,4.25
47792,0.58,Very Good,E,VS2,60.9,58.0,1899,5.4,5.39,3.29
29460,0.33,Very Good,G,VVS2,61.5,62.0,702,4.39,4.43,2.71
25504,1.51,Premium,F,VS2,62.5,58.0,14294,7.33,7.22,4.55
49062,0.72,Ideal,F,SI2,61.9,57.0,2058,5.74,5.79,3.57
42023,0.52,Very Good,F,SI1,63.7,58.0,1267,5.11,5.13,3.26
35584,0.35,Ideal,F,VS2,62.6,56.0,906,4.52,4.49,2.82
50863,0.71,Very Good,E,SI2,62.2,58.0,2313,5.68,5.73,3.55
50648,0.31,Good,E,SI1,63.6,57.0,544,4.28,4.3,2.73
35953,0.3,Ideal,F,SI1,61.9,57.0,475,4.31,4.35,2.68
36811,0.3,Ideal,G,IF,62.6,57.0,956,4.32,4.28,2.69
11755,1.01,Very Good,F,SI1,62.4,60.0,5078,6.35,6.4,3.98
595,0.76,Very Good,H,SI1,60.9,55.0,2838,5.92,5.94,3.61
10312,1.1,Ideal,H,SI1,62.5,57.0,4764,6.6,6.56,4.11
32154,0.28,Ideal,F,VVS2,61.5,57.0,787,4.19,4.24,2.59
