Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
8903,1.08,Ideal,H,SI2,61.8,55.0,4491,6.57,6.6,4.07
45066,0.51,Premium,D,SI1,61.9,60.0,1642,5.15,5.12,3.18
922,0.92,Very Good,J,SI2,58.7,61.0,2880,6.34,6.43,3.75
34944,0.23,Very Good,E,VS1,60.4,62.0,378,3.93,3.99,2.39
44195,0.51,Premium,D,SI1,60.1,60.0,1569,5.14,5.18,3.1
15485,1.16,Premium,H,VS2,62.3,56.0,6202,6.77,6.68,4.19
16379,0.29,Very Good,F,VVS1,59.8,61.0,609,4.31,4.35,2.59
46622,0.3,Very Good,G,VS2,62.2,60.0,526,4.24,4.25,2.64
5189,0.83,Ideal,E,SI1,61.6,56.0,3775,6.03,6.05,3.72
13211,1.13,Ideal,E,SI2,62.2,56.0,5457,6.7,6.66,4.16
21699,0.34,Premium,D,SI1,62.4,58.0,626,4.42,4.46,2.77
36302,0.32,Ideal,H,VVS1,62.2,56.0,936,4.38,4.37,2.72
20691,1.23,Ideal,G,VS1,61.4,56.0,8970,6.91,6.96,4.26
28080,0.4,Ideal,J,VVS2,62.5,53.0,662,4.74,4.79,2.98
37268,0.28,Ideal,F,SI1,60.6,55.0,481,4.26,4.3,2.6
20488,1.5,Premium,I,VS2,62.9,58.0,8820,7.17,7.08,4.48
15160,1.04,Very Good,G,VS2,62.3,54.0,6095,6.49,6.55,4.06
17971,1.5,Premium,I,SI2,62.2,62.0,7266,7.27,7.2,4.5
32422,0.41,Ideal,D,SI1,60.8,57.0,791,4.8,4.84,2.93
12335,1.01,Premium,E,SI1,59.0,59.0,5226,6.6,6.56,3.88
3509,0.81,Premium,G,VS1,61.7,59.0,3402,6.07,5.96,3.71
38741,0.4,Very Good,H,IF,64.0,56.0,1044,4.66,4.69,2.99
53398,0.83,Ideal,H,SI2,61.1,59.0,2666,6.05,6.1,3.71
34568,0.38,Ideal,F,VS2,60.4,55.0,871,4.71,4.76,2.86
25705,0.35,Ideal,D,SI1,61.6,57.0,644,4.54,4.55,2.8
31375,0.31,Ideal,H,IF,60.8,57.0,761,4.38,4.4,2.67
47483,0.58,Premium,E,VS2,59.4,60.0,1862,5.47,5.43,3.24
52704,0.7,Fair,G,VS1,57.1,62.0,2553,5.89,5.94,3.38
140,0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43
44629,0.56,Ideal,D,SI1,62.5,56.0,1608,5.24,5.28,3.29
