Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
46523,0.51,Ideal,G,VS1,61.0,55.0,1781,5.21,5.11,3.15
17624,1.2,Good,E,SI1,64.0,61.0,7096,6.67,6.61,4.25
8069,0.31,Good,F,VS2,63.5,55.0,583,4.31,4.32,2.74
23770,2.01,Premium,H,SI2,62.5,62.0,11825,8.09,8.04,5.04
7841,1.13,Ideal,E,SI2,62.4,56.0,4303,6.66,6.63,4.15
14695,1.0,Very Good,H,VVS2,60.3,59.0,5929,6.41,6.46,3.88
48651,0.34,Premium,H,VS2,61.1,58.0,537,4.47,4.5,2.74
20981,1.54,Ideal,G,SI2,61.9,55.0,9193,7.47,7.39,4.6
50315,0.7,Premium,D,SI2,63.0,56.0,2239,5.67,5.64,3.56
45792,0.55,Ideal,F,VS2,60.9,56.0,1709,5.3,5.34,3.24
39189,0.35,Ideal,D,VS2,61.8,56.0,1063,4.55,4.51,2.8
15426,1.04,Ideal,G,VS2,62.6,55.0,6177,6.45,6.49,4.05
34198,0.33,Ideal,F,VS2,62.1,54.0,854,4.46,4.43,2.76
14317,1.09,Premium,D,SI1,61.6,58.0,5799,6.61,6.57,4.06
46015,0.53,Premium,G,VS1,63.0,58.0,1727,5.17,5.15,3.25
7668,0.83,Ideal,E,VS2,61.3,56.0,4271,6.06,6.08,3.72
36872,0.42,Premium,E,VS2,61.0,59.0,958,4.82,4.85,2.95
35127,0.43,Premium,H,SI2,61.8,59.0,887,4.86,4.85,3.0
12316,1.11,Good,I,VVS2,60.1,64.0,5221,6.73,6.62,4.02
5987,0.8,Ideal,F,VS1,61.6,54.0,3953,5.95,5.99,3.68
14108,1.2,Ideal,G,SI2,61.1,57.0,5722,6.83,6.86,4.18
27724,2.01,Ideal,G,SI1,62.2,56.0,18741,8.02,7.97,4.97
40759,0.4,Premium,F,VVS2,60.7,58.0,1163,4.75,4.7,2.87
9769,1.02,Ideal,F,SI2,61.4,56.0,4662,6.5,6.47,3.98
43373,0.38,Very Good,E,IF,62.5,59.0,1409,4.61,4.64,2.89
19509,1.28,Premium,G,VS2,62.1,60.0,8139,6.95,6.89,4.3
49999,0.58,Premium,D,VS1,61.4,58.0,2192,5.37,5.34,3.29
15250,1.07,Premium,D,SI1,63.0,57.0,6124,6.57,6.47,4.11
30295,0.34,Premium,I,SI1,60.2,59.0,447,4.52,4.55,2.73
27305,2.03,Premium,F,SI1,61.3,59.0,17803,8.15,8.22,5.02
