Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
31262,0.32,Very Good,I,VS2,61.1,57.0,449,4.39,4.42,2.69
38985,0.39,Premium,F,VS2,62.4,58.0,1053,4.65,4.61,2.89
11807,1.01,Premium,H,SI1,62.3,58.0,5090,6.44,6.4,4.0
45841,0.6,Very Good,F,SI1,62.1,57.4,1715,5.39,5.45,3.35
12052,0.34,Ideal,H,VS1,62.3,55.0,596,4.45,4.48,2.78
49450,0.71,Very Good,I,VS2,59.5,57.0,2111,5.85,5.88,3.49
47148,0.51,Ideal,D,VS2,61.0,57.0,1832,5.18,5.15,3.15
40624,0.41,Ideal,E,VS1,61.7,57.0,1153,4.8,4.76,2.95
16847,1.0,Premium,E,VS2,60.4,57.0,6720,6.49,6.46,3.91
11657,1.02,Ideal,G,SI1,62.8,57.0,5055,6.38,6.35,4.0
580,0.78,Ideal,I,VS2,61.8,55.0,2834,5.92,5.95,3.67
12002,1.01,Premium,H,VS1,61.6,57.0,5147,6.47,6.38,3.96
9170,0.9,Very Good,G,VS2,62.7,59.0,4543,6.09,6.16,3.84
19493,1.5,Very Good,I,SI1,60.3,60.0,8127,7.46,7.43,4.49
45301,0.31,Very Good,G,SI2,63.2,55.0,523,4.33,4.31,2.73
33629,0.33,Premium,I,VS2,60.6,58.0,463,4.44,4.47,2.7
53109,0.8,Premium,I,VS2,62.9,61.0,2616,5.84,5.77,3.65
18531,1.0,Fair,E,VVS2,56.8,58.0,7553,6.59,6.64,3.76
24435,2.54,Ideal,I,SI2,61.4,54.0,12687,8.83,8.78,5.41
43373,0.38,Very Good,E,IF,62.5,59.0,1409,4.61,4.64,2.89
36867,0.42,Ideal,E,VS2,62.4,55.0,958,4.79,4.83,3.0
981,0.71,Very Good,G,VS2,60.9,56.0,2895,5.75,5.78,3.51
27312,1.63,Ideal,E,VS2,61.3,55.0,17825,7.6,7.63,4.67
33273,0.32,Very Good,H,SI1,61.8,56.0,461,4.4,4.43,2.73
47772,0.53,Ideal,G,VVS2,61.0,56.0,1895,5.19,5.23,3.18
45408,0.52,Ideal,E,VS1,62.5,56.0,1668,5.11,5.16,3.21
21254,1.24,Good,G,VS1,60.2,63.0,9405,6.96,6.99,4.2
9872,1.05,Ideal,I,SI1,62.1,54.0,4679,6.54,6.55,4.06
29853,0.3,Very Good,D,VS2,62.9,59.0,710,4.22,4.27,2.67
43271,0.3,Good,I,SI1,63.8,57.0,506,4.27,4.19,2.7
