Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
34996,0.31,Premium,D,VVS1,62.7,58.0,882,4.3,4.31,2.7
46529,0.51,Ideal,G,VS1,61.9,56.0,1781,5.14,5.1,3.17
1746,0.7,Fair,F,VS1,64.9,59.0,3039,5.56,5.59,3.62
37478,0.35,Ideal,H,IF,61.7,56.0,984,4.55,4.53,2.8
53853,0.83,Ideal,J,VS2,62.3,55.0,2742,6.01,6.03,3.75
53896,0.7,Good,F,VS1,57.8,61.0,2751,5.83,5.79,3.36
50815,0.7,Premium,E,SI2,62.9,59.0,2307,5.67,5.59,3.54
46637,0.3,Ideal,G,VS2,61.3,56.0,526,4.28,4.3,2.63
26337,1.59,Ideal,G,VVS2,60.6,59.0,15843,7.53,7.59,4.58
2053,0.32,Premium,G,VS2,62.0,58.0,561,4.33,4.38,2.7
38102,0.36,Ideal,E,VS2,61.1,56.0,1013,4.63,4.6,2.82
25260,1.67,Ideal,H,VS1,61.8,55.9,13887,7.57,7.6,4.69
35639,0.3,Ideal,H,SI1,62.6,53.1,475,4.27,4.3,2.69
25928,1.98,Very Good,I,VS2,62.7,60.0,15083,7.9,7.96,4.98
5887,1.01,Premium,E,SI2,59.4,59.0,3928,6.51,6.49,3.86
43228,0.4,Ideal,E,VVS1,61.5,56.0,1397,4.73,4.7,2.9
34708,0.37,Ideal,E,VS1,61.4,56.0,874,4.65,4.66,2.86
14600,1.24,Ideal,F,SI2,61.7,57.0,5889,6.95,6.88,4.27
32772,0.34,Ideal,D,SI1,62.7,56.0,803,4.48,4.45,2.8
49980,0.3,Very Good,G,VS2,61.7,56.0,541,4.32,4.35,2.67
24426,2.03,Ideal,F,SI2,62.4,57.0,12677,8.09,8.02,5.03
43994,0.3,Very Good,F,SI2,62.2,58.0,394,4.22,4.33,2.66
49284,0.7,Very Good,F,SI2,62.8,56.0,2092,5.64,5.69,3.56
33174,0.43,Ideal,G,SI1,61.7,55.0,818,4.89,4.87,3.01
3222,0.9,Good,G,SI2,58.5,61.0,3350,6.28,6.33,3.69
5594,0.9,Very Good,E,SI1,62.3,61.0,3868,6.12,6.17,3.83
19736,1.55,Ideal,J,SI1,62.4,57.0,8301,7.5,7.45,4.67
21567,2.68,Very Good,I,I1,63.5,56.0,9665,8.81,8.77,5.58
2134,0.7,Ideal,G,VVS1,62.3,57.0,3123,5.61,5.65,3.51
24585,2.05,Premium,D,SI2,60.0,58.0,12891,8.31,8.23,4.96
