Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
23202,2.04,Premium,J,VS2,60.9,59.0,11209,8.25,8.21,5.01
51297,0.73,Ideal,E,SI1,60.9,56.0,2361,5.84,5.79,3.54
48349,0.74,Premium,H,SI2,60.9,61.0,1962,5.84,5.75,3.53
53512,0.71,Premium,F,VS2,61.9,59.0,2686,5.75,5.72,3.55
27072,2.14,Premium,I,VS2,60.7,59.0,17193,8.33,8.28,5.04
21335,1.24,Ideal,F,VS2,62.0,57.0,9478,6.83,6.89,4.25
36320,0.32,Ideal,G,VVS2,61.8,55.0,936,4.43,4.41,2.73
29746,0.32,Ideal,H,VVS1,62.0,55.0,708,4.42,4.45,2.75
40050,0.38,Premium,E,VS2,60.5,62.0,1112,4.74,4.65,2.84
24724,2.03,Very Good,I,SI2,62.8,59.0,13063,8.04,8.08,5.06
24117,2.01,Very Good,G,SI2,63.3,56.0,12271,8.06,8.01,5.08
37206,0.34,Ideal,G,IF,61.9,54.0,974,4.51,4.53,2.8
15315,1.32,Good,J,VS1,62.6,62.0,6147,6.92,7.01,4.36
5538,0.92,Ideal,H,SI2,60.5,57.0,3854,6.3,6.29,3.81
34022,0.35,Ideal,E,VVS2,62.6,53.0,849,4.52,4.55,2.84
48222,0.57,Ideal,G,VS1,61.3,56.0,1949,5.36,5.34,3.28
13344,1.0,Good,F,VS2,63.4,56.0,5505,6.27,6.35,4.0
6686,0.97,Ideal,G,SI2,62.7,57.0,4101,6.31,6.28,3.95
52338,0.75,Good,E,SI2,59.7,62.0,2497,5.85,5.88,3.5
34867,0.3,Premium,G,VVS2,62.7,56.0,878,4.31,4.24,2.68
9277,1.01,Very Good,D,SI2,61.4,60.0,4564,6.33,6.38,3.9
47978,0.38,Ideal,G,SI2,62.0,55.0,532,4.66,4.69,2.9
28131,0.29,Very Good,E,VVS2,58.5,58.0,664,4.35,4.37,2.55
4779,1.03,Ideal,H,SI2,60.5,57.0,3692,6.58,6.52,3.96
39368,0.36,Premium,G,IF,62.5,60.0,1074,4.49,4.53,2.82
44469,0.51,Premium,E,SI1,61.5,58.0,1593,5.14,5.11,3.15
2807,1.11,Premium,H,I1,61.0,59.0,3263,6.67,6.61,4.05
26746,2.0,Good,I,VS2,63.3,56.0,16544,7.98,8.03,5.07
34768,0.41,Ideal,E,SI2,62.8,57.0,876,4.73,4.7,2.96
21703,0.35,Ideal,I,VVS1,61.8,55.0,627,4.53,4.56,2.81
