Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
47819,0.5,Very Good,G,VVS2,62.9,55.0,1904,5.05,5.09,3.19
43059,0.51,Ideal,E,SI1,61.4,56.0,1377,5.15,5.17,3.17
32764,0.34,Ideal,D,SI1,61.5,53.0,803,4.53,4.51,2.78
23377,0.33,Ideal,G,SI1,61.4,57.0,631,4.48,4.45,2.74
53599,0.71,Ideal,J,SI1,60.6,57.0,2700,5.78,5.83,3.52
40732,0.37,Ideal,E,VVS2,61.6,55.0,1162,4.62,4.63,2.85
6410,0.77,Ideal,D,VS1,62.2,55.0,4039,5.85,5.88,3.65
24346,2.1,Very Good,I,SI2,60.6,60.0,12612,8.29,8.33,5.04
52274,0.72,Premium,F,SI1,61.7,59.0,2492,5.74,5.7,3.53
46391,0.7,Premium,J,VVS2,60.6,58.0,1764,5.73,5.82,3.5
41880,0.57,Premium,F,SI1,61.1,60.0,1257,5.44,5.33,3.24
5190,0.9,Good,H,VS2,63.6,55.0,3775,6.14,6.09,3.89
26717,0.32,Very Good,G,VS1,62.9,57.0,645,4.37,4.4,2.76
48696,0.54,Ideal,G,VVS1,62.2,53.9,2007,5.22,5.25,3.26
14111,1.36,Very Good,J,SI1,62.0,59.0,5723,7.01,7.06,4.36
23393,0.4,Ideal,J,VS1,62.6,55.0,631,4.71,4.75,2.96
12607,1.23,Good,J,VS2,63.6,57.0,5290,6.74,6.79,4.3
40015,0.37,Very Good,D,VVS1,62.3,54.0,1108,4.57,4.65,2.87
27460,2.04,Premium,H,SI1,62.5,61.0,18115,8.08,8.04,5.04
11120,1.05,Good,H,SI1,63.2,56.0,4937,6.47,6.51,4.1
52585,0.7,Very Good,G,VS2,59.3,60.0,2539,5.77,5.83,3.43
44172,0.53,Ideal,D,SI1,62.0,57.0,1566,5.19,5.23,3.23
50100,0.71,Premium,H,SI1,62.5,60.0,2207,5.75,5.68,3.57
11220,1.0,Very Good,F,SI1,59.4,60.0,4961,6.47,6.52,3.86
46013,0.53,Ideal,G,VS1,61.7,55.0,1727,5.22,5.18,3.21
19794,1.22,Premium,G,VS2,61.8,58.0,8362,6.91,6.84,4.25
22614,1.52,Good,F,SI1,63.6,54.0,10664,7.33,7.22,4.63
50583,1.0,Fair,F,I1,68.0,57.0,2280,6.14,6.05,4.15
34048,0.35,Good,E,VS1,59.4,55.0,851,4.6,4.62,2.74
44703,0.57,Good,G,VS2,64.1,55.0,1613,5.28,5.27,3.38
