Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
12409,1.02,Ideal,D,SI2,62.0,58.0,5235,6.4,6.51,4.0
23742,2.0,Very Good,J,SI2,61.9,55.0,11792,8.06,8.09,5.0
7680,1.18,Premium,J,SI2,61.3,60.0,4274,6.83,6.78,4.17
53313,0.72,Ideal,I,VS2,61.7,56.0,2650,5.73,5.78,3.55
7809,0.85,Very Good,F,VS1,62.0,55.0,4293,6.08,6.14,3.78
16566,1.01,Premium,G,VS1,62.8,59.0,6618,6.37,6.34,3.99
24126,1.76,Very Good,H,SI1,63.1,59.0,12288,7.69,7.59,4.82
3062,0.73,Ideal,E,VS2,61.5,56.0,3310,5.79,5.82,3.57
37912,0.41,Very Good,G,VVS2,61.6,56.0,1007,4.76,4.78,2.94
48387,0.5,Premium,G,VVS1,61.0,60.0,1966,5.08,5.12,3.11
19739,1.09,Ideal,G,VS1,60.3,57.0,8305,6.68,6.73,4.04
45395,0.63,Premium,I,VS1,62.0,58.0,1667,5.52,5.45,3.4
36264,0.37,Ideal,H,IF,61.4,55.0,936,4.63,4.66,2.85
52610,0.75,Very Good,G,SI1,60.9,58.0,2545,5.84,5.88,3.57
15541,1.21,Very Good,H,SI1,60.2,58.0,6229,6.89,6.93,4.16
29255,0.33,Ideal,H,VVS1,60.2,60.0,698,4.49,4.52,2.71
42233,0.53,Very Good,F,SI1,60.9,56.0,1291,5.21,5.23,3.18
4412,0.72,Very Good,H,VVS1,59.9,57.0,3610,5.83,5.86,3.5
21631,2.01,Ideal,J,SI1,62.8,58.0,9725,8.02,7.97,5.02
46505,0.56,Ideal,F,VS2,60.8,56.0,1778,5.33,5.3,3.23
23413,1.12,Ideal,F,VVS1,61.0,56.0,11403,6.71,6.74,4.1
49548,0.77,Very Good,H,SI2,63.6,58.0,2129,5.77,5.81,3.68
21801,1.21,Ideal,G,VS2,60.1,57.0,9873,6.94,6.98,4.18
26173,2.19,Ideal,I,SI2,61.5,57.0,15509,8.31,8.44,5.15
38922,0.33,Ideal,G,IF,61.9,54.0,1052,4.46,4.42,2.75
29543,0.4,Fair,H,VS2,65.1,59.0,704,4.58,4.63,3.0
38256,0.26,Very Good,F,VS2,62.5,55.0,381,4.05,4.08,2.54
33826,0.37,Very Good,E,VVS2,59.3,58.0,843,4.68,4.73,2.79
26,0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41
51989,0.25,Very Good,E,VVS2,61.7,57.0,548,4.08,4.12,2.53
